text,label
This is sample text number 0,positive
This is sample text number 1,negative
This is sample text number 2,negative
This is sample text number 3,positive
This is sample text number 4,negative
This is sample text number 5,negative
This is sample text number 6,positive
This is sample text number 7,negative
This is sample text number 8,negative
This is sample text number 9,positive
This is sample text number 10,negative
This is sample text number 11,negative
This is sample text number 12,positive
This is sample text number 13,negative
This is sample text number 14,negative
This is sample text number 15,positive
This is sample text number 16,negative
This is sample text number 17,negative
This is sample text number 18,positive
This is sample text number 19,negative
This is sample text number 20,negative
This is sample text number 21,positive
This is sample text number 22,negative
This is sample text number 23,negative
This is sample text number 24,positive
This is sample text number 25,negative
This is sample text number 26,negative
This is sample text number 27,positive
This is sample text number 28,negative
This is sample text number 29,negative
This is sample text number 30,positive
This is sample text number 31,negative
This is sample text number 32,negative
This is sample text number 33,positive
This is sample text number 34,negative
This is sample text number 35,negative
This is sample text number 36,positive
This is sample text number 37,negative
This is sample text number 38,negative
This is sample text number 39,positive
This is sample text number 40,negative
This is sample text number 41,negative
This is sample text number 42,positive
This is sample text number 43,negative
This is sample text number 44,negative
This is sample text number 45,positive
This is sample text number 46,negative
This is sample text number 47,negative
This is sample text number 48,positive
This is sample text number 49,negative
