text,label
Sample text 2 with some content,negative
Sample text 4 with some content,negative
Sample text 5 with some content,negative
Sample text 7 with some content,negative
Sample text 8 with some content,negative
Sample text 10 with some content,negative
Sample text 11 with some content,negative
Sample text 13 with some content,negative
Sample text 14 with some content,negative
Sample text 16 with some content,negative
Sample text 17 with some content,negative
Sample text 19 with some content,negative
Sample text 20 with some content,negative
Sample text 22 with some content,negative
Sample text 23 with some content,negative
Sample text 25 with some content,negative
Sample text 26 with some content,negative
Sample text 28 with some content,negative
Sample text 29 with some content,negative
Sample text 31 with some content,negative
Sample text 32 with some content,negative
Sample text 34 with some content,negative
Sample text 35 with some content,negative
Sample text 37 with some content,negative
Sample text 38 with some content,negative
Sample text 40 with some content,negative
Sample text 41 with some content,negative
Sample text 43 with some content,negative
Sample text 44 with some content,negative
Sample text 46 with some content,negative
Sample text 47 with some content,negative
Sample text 49 with some content,negative
Sample text 50 with some content,negative
Sample text 51 with some content,positive
Sample text 52 with some content,negative
Sample text 53 with some content,negative
Sample text 54 with some content,positive
Sample text 55 with some content,negative
Sample text 56 with some content,negative
Sample text 57 with some content,positive
Sample text 58 with some content,negative
Sample text 59 with some content,negative
Sample text 60 with some content,positive
Sample text 61 with some content,negative
Sample text 62 with some content,negative
Sample text 63 with some content,positive
Sample text 64 with some content,negative
Sample text 65 with some content,negative
Sample text 66 with some content,positive
Sample text 67 with some content,negative
Sample text 68 with some content,negative
Sample text 69 with some content,positive
Sample text 70 with some content,negative
Sample text 71 with some content,negative
Sample text 72 with some content,positive
Sample text 73 with some content,negative
Sample text 74 with some content,negative
Sample text 75 with some content,positive
Sample text 76 with some content,negative
Sample text 77 with some content,negative
Sample text 78 with some content,positive
Sample text 79 with some content,negative
Sample text 80 with some content,negative
Sample text 81 with some content,positive
Sample text 82 with some content,negative
Sample text 83 with some content,negative
Sample text 84 with some content,positive
Sample text 85 with some content,negative
Sample text 86 with some content,negative
Sample text 87 with some content,positive
Sample text 88 with some content,negative
Sample text 89 with some content,negative
Sample text 90 with some content,positive
Sample text 91 with some content,negative
Sample text 92 with some content,negative
Sample text 93 with some content,positive
Sample text 94 with some content,negative
Sample text 95 with some content,negative
Sample text 96 with some content,positive
