text,label
The nasal swab test for COVID-19 damages the blood brain barrier and can cause brain infection .,1
Cuba has been developing a vaccine against coronavirus .,1
A coronavirus case has been confirmed at the Istanbul Medical School Hospital .,1
"Chloroquine is a potent inhibitor of SARS coronavirus infection and spread @-@ The Virology Journal , 2005 ( the official publication of Dr . Fauci &apos;s NIH )",1
Thoughts on the Lancet and NEJM # COVID19 retractions .,1
U .S . secures 300 million doses of potential AstraZeneca COVID-19 # vaccine .,1
Chinese eat octopus after surviving the coronavirus .,1
Prince Charles has recovered from COVID-19 due to the assistance of Ayurvedic treatment .,1
"Nigella seeds contain hydroxychloroquine , which helps prevent coronavirus from spreading .",1
"The COVID-19 testing facility logo is Anubis , the Egyptian god of death .",1
False claims about COVID-19 deaths in Sri Lanka .,1
"Tasuku Honjo , a Japanese Nobel Prize winner in medicine , claims COVID-19 is a Chinese @-@ made virus .",1
"Dr . Manuel Elkin Patarroyo , a Colombian doctor , said breast milk does eliminate the new coronavirus .",1
"You can use warm water , salt or vinegar to defeat the virus .",1
A video shows Chinese police arresting patients infected with Coronavirus .,1
Pangolin was the original cause of COVID-19 .,1
A coronavirus case in the Indian state of Uttar Pradesh .,1
A video of Muslims training to sneeze deliberately to spread the coronavirus .,1
The Jewish temple in New York was discovered hiding N95 masks needed by hospitals .,1
"The Occupational Safety and Health Administration did not say , &quot;masks do not work against COVID-19 &quot; .",1
There is a discussion of treatment options for COVID-19 with chloroquine derivatives in the pharmacological and cardiovascular perspective .,1
"In China , pigs are burned alive in the process of controlling coronavirus .",1
"Everyone should prepare to stock up on essentials such as milk , ration , medicine , and cash as soon as India declares a national emergency .",1
I believe ibuprofen can cause a worse coronavirus ( COVID-19 ) .,1
The Australian scientists refer to COVID-19 as a US funded bioweapon .,1
"In the year 500 years ago , Nostradamus predicted a pandemic of Coronavirus .",1
"Research has been ongoing for decades , masks do not work with viruses .",1
A Cuban researcher has developed a COVID-19 cure .,1
A combination of vitamin C and fennel tea are both recommended for preventing the novel coronavirus .,1
Bitter gourd juice from people with coronavirus is a cure .,1
A Facebook user posted a message saying that Ghana has recorded more than 1500 cases of coronavirus .,1
"The video ""Plandemic"" talks about new coronaviruses .",1
The scientists say that the spread of Coronavirus may be due to bat soup .,1
"Progressives Explain It Is Not Martial Law , It Is Viral Law #coronavirus # pandemic #covid19 #freedom",1
"I do not know the role of vitamin D in #COVID , but global societies are increasingly concerned about musculoskeletal health .",1
RT @CDCDCDirector : I feel that the US public will continue to embrace the #COVID19 mitigation techniques ( face mask ) . . .,1
The greatest risk of #COVID19 infection is to those close to the infected individual . This includes family members and healthcare professionals who care for them .,1
A doctor from Brasilia has discovered a cure for COVID-19 .,1
A COVID-19 remedy is under launch by Lesotho .,1
The COVID patients did not show any improvement in treatment with hydroxychloroquine . Read the full study here : https : / / / / / t .co / IcQnO,1
Some Muslims believe that drinking camel urine will cure illness .,1
"Billions for Coronavirus , Trump wants to spend it on the wall .",1
