text,label
Good gyros ; good desserts ; reasonable prices .,1
"Good food , clean environment , friendly and fast service .",1
You should try the roti canai appetizer !,1
It is a great bank but not for a mortgage .,1
"Great pizza , reasonable prices , fast service - I do not want to ask for much more !",1
"Burritos are mediocre , but the tacos are good .",1
"Great tea , good food , terrible service .",1
"Military discount , kids menu\ n\ nOtherwise a typical Mexican restaurant .",1
"A bad service , mediocre food , but a great view .",1
"Great location , great food , excellent service , one of our favorites .",1
Il Purista sandwich is a simple sandwich that is packed with flavor .,1
Two words : Molcajete Caliente\ n\ nEnough .,1
Grade : C\ n\ nLoud . Cheap .,1
"Poor service , noisy , but good food .",1
Grade : F\ n\ nEven in the unbelievable Crunch Coat Blizzard can not replace the deep fried tumor that has passed off as Chicken Breast .,1
Addictive Brunch . A lot of veggie options .,1
A good dive bar with decent drinks .,1
"A nice place to eat , reasonable prices , good atmosphere , and good hospitality .",1
"I thought the staff was really nice , but my nails were terrible !",1
"Friendly , fast , clean , good drinks .",1
"The burgers are good , but they are a bit expensive .",1
"The food is good , the building is old .",1
"They have good music , good beer , but the manager is very bad .",1
"I was told there is a gluten free menu , but it is not true .",1
"The store is fine , but the bathroom is disgusting !",1
"I ordered the Garlic Chicken and it was great , hot , fresh , tasty and the Chicken is tender .",1
"Not a big cultural center , but it has several Asian stores and large Asian stores .",1
"The staff is not friendly , this place is a maze !",1
"Great place to watch football . Great food , great service .",1
The pad Thai in the Thai Rama restaurant is good !,1
"Dim Sum in Vegas , the best option .",1
The Church Chicken restaurant has been closed for a year !,1
"The food was alright , but it took half an hour to get a Philly roll .",1
"The food is good , but the staff is very uninviting and stores are both dirty .",1
The best pizza in the country in the state of Arizona !,1
I have to give it a five star rating after trying delicious shahi paneer !,1
Courtney is a great waxing girl ! Erica is a great manicurist !,1
"Service 5 stars , food 2 stars , atmosphere 2 stars .",1
I will try spinach pasta with feta cheese !,1
That is the best lobster ravioli I have ever had .,1
"In this Chipotle , there are always fresh ingredients and friendly , attentive staff .",1
Mashawa and Lamb kabobs .,1
Starbucks is great ! The staff and service are always great !,1
"Delicious , unique experience , great for group or intimate dining .",1
"This is an old bowling alley , but it is clean and the staff is very attractive !",1
"I did not think that was the best pizza , but the kids really liked it .",1
The best tamales .,1
That was the worst pedicure I have ever had .,1
The service and view is wonderful . We found the food to be mediocre .,1
"The owners are rude , the food is good .",1
Scottsdale is an excellent place to eat breakfast .,1
"There is nothing authentic about food , but the best in Madison .",1
"This is the closest mall I know and it always seems pretty clean , you can always find parking , and I believe there will be more stores opening soon .",1
"TJ is open at 10345 S . Eastern Ave , Henderson , NV 89052\n\n702 @-@ 407 @-@ 8673",1
"It is a hole in the wall , but the food and staff is incredible .",1
"Gino is awesome , friendly and helpful !",1
The food is good - they have a delicious burger - but my girlfriend found a twist tie on the food .,1
I had a great lunch and I really enjoyed soup salad and ice cream .,1
"It is really delicious , the Mexican latte really tastes great , the green flannel tastes great , but you must like spicy ! Get back to Foursquare and you unlock free gelato and french toast .",1
The reviews here are fake and written by the owners . . . the food is terrible and the staff are mean .,1
"I enjoyed the burger , the service was not good .",1
Now it is called Gelato Spot and it is not open until 3 : 00 a .m .,1
"Sammy is famous for its corned beef sandwiches , and they are incredibly delicious .",1
I would recommend Pollo Siciliano and Pollo basil .,1
"I tried the new Kobe burger , and it was as good as the other burgers I had tried .",1
"Great Greek fries , everyone who loves Greek flavors !",1
"A gun dryer , perfect for motorcycles !",1
"Good airport , clean and well organized .",1
"Great stadium , a weak fan base , but good food and drink options and every seat has a good view .",1
"Good steak , good service , one of the nicer restaurants in Chandler .",1
I have seen so many old shoes .,1
They were caught before closing time and given 2 stars regardless of mediocre tacos .,1
We have found the most authentic Hawaiian restaurant - such as ohana @-@ aloha @-@ wonderful ! ! !,1
They are raising prices but not the quality .,1
"Well , I am obviously not a Thai connoisseur , but I really want a good peanut sauce with my Pad Thai .",1
"The service is terrible , the staff is rude and you are just there !",1
"The menu is small and the restaurant is not as delicious , but the food was good and the prices were very good .",1
"Anita Cocina is the best restaurant in Wickenburg ! They have wonderful menus , delicious service , great atmosphere and wonderful artwork !",1
The owner sold it and now it is a Thai basil .,1
"Great tacos , try al pastor and lengua .",1
"They were rude . . . Dr . Romine was pleasant enough to stop by and say , &quot; Anything you need to know is to contact us\"" but aside from that they were rude .",1
Dr . Bramley cares about you and your pet and the price is very fair .,1
"If you &apos;re eating lunch or dinner in Gilbert , it is the best place to eat .",1
"Good food , wonderful margaritas and excellent service !",1
"I was surprised by the bad reviews and would recommend you ignore them , it is a good Chinese restaurant .",1
"It is a great place to get fresh mariscos in South Phoenix , Arizona .",1
"If you want to eat Colombian / Ecuadorian food , that is a nice Latin change of pace .",1
Great service and great staff ! Great music in Pittsburgh !,1
"Wally is a high end pub with a price tag that matches the menu , but it is carefully planned and served with a smile .",1
Amazing ! The scrambler is the best and the marigold potatoes . . . wow .,1
"I love the new location , girls who work there are wonderful and helpful .",1
I am from Chicago and this cafe is probably the best in Champaign .,1
"I am not impressed , I had authentic Italian , but I do not mean that quality .",1
"The pizza was good , we ordered large and it was not good .",1
"A zombie service , mediocre food .",1
"Good food , fun and comfortable atmosphere , and excellent service !",1
"Tomatoes , mozzarella , and basil .",1
"The food is similar to pandas , just the service is not good , they need to pay more attention to their food .",1
"It is a great service and enjoyable , but it is quite expensive for fondue .",1
"A nice hotel , friendly staff , good place to go to work and the hotel bar is a nice place to have a drink .",1
"I tried the Organic 12 Grain with Omega and I loved it ! It &apos;s great bread , and I only got 46 calories !",1
"I have been eating here often , the menu has changed , food is good . $ 1 .95 for sour cream , is that the case ?",1
Sad news . . . . the salon closes its doors . Do you have any suggestions for a good style and cut downtown ?,1
"The wings were average , but pina coladas were very good .",1
The Flat Tire is awesome ! The staff is very knowledgeable and helpful .,1
"Good pizza ( love crust ) , inexpensive , good chicken wings are great , and the service is quick .",1
I would suggest that the bouncers learn that they are there to help the patrons .,1
The staff is rude . They never get their order .,1
The hotel was the worst customer service I have ever experienced . They were rude and the room was filthy .,1
It was disappointing to have the minimal selection of bagels on Sunday morning .,1
"I love Fry Electronics , and they always have what I want and I am waiting for delivery .",1
"The sales department is very good , but the service department needs improvement .",1
"The food is average , the prices are slightly high , the salsa is good , and the service is good but the balloons are very good !",1
"I highly recommend the spicy Thai wings , as well as the curry dishes , my favorite Thai restaurant in Arizona .",1
W . Charleston does not produce the same quality food . . .,1
I am not a big fan of Panda Express but I do not like processed food .,1
"I do not eat sushi , but I love their spicy teriyaki chicken Bowl !",1
That is amazing . Hummus is the best .,1
"In Japan , there is no better Japanese restaurant !",1
"I think that Latazar is the best barber in the area . He is fast , consistent , and great at fading a short cut .",1
"Everything was mediocre , the food was mediocre , and the service was mediocre .",1
Great deli in Phoenix . Good food and friendly service .,1
"Oh , pancakes , eggs , hashbrowns , fruit and hot chocolate . . . . &quot; Nuff said .",1
Four for Service\ n3 for food\ n4 for 24 hours,1
"I heard of this place , but I have not visited it yet . It is a very good neighborhood , good food , good service and good atmosphere - the prices were very reasonable .",1
"I love Kmart , they have amazing clothes and always have great deals .",1
Pancakes are the bomb ! They are friendly and have a good service .,1
"I did not receive the hype ? My food was cold , the bacon was cold , my coffee was weak . . .",1
I bump my stars because I recently learned that they use soy sauce in their sauces that is gluten free .,1
"The peach iced tea with real peach slices is a great drink , I love it !",1
"Moki does not make you crazy , but it is a decent place to satisfy your Hawaiian food cravings .",1
Only one sentence : the best strawberry shake .,1
"I do not like chicken and waffles , but the fruit punch was good !",1
The food is good but the bakery is good as well .,1
"Sushi was stale , old and disgusting . There was no waiter , no customer , he has to order himself .",1
"If you are looking for Civil War reproductions fabrics , this is the place to go .",1
