text,label
The Coronavirus lives on for twelve hours on metal's surface;,1
"The coronavirus cure is bitter gourd juice ,",1
At last Italy's cure for Coronavirus was found;,1
"In three days' time , mugwort cures coronavirus;",1
"Can ye get a Covid-19 from a toilet seat ,",1
"""The coronavirus is the common cold;",1
"Onions will keep free of coronaviruses ,",1
A serum against coronavirus was devised in Senegal;,1
"In England , Scotland , and Wales , new rules laid to ban social gatherings of more than six ,",1
"""Crowned with suspected coronavirus , Jackie Chan's guard ,",1
"""Plandemic"" talks of a new coronavirus ,",1
"_Israeli_ scientists have discovered a vaccination ,",1
"The belief that camel's urine can cure ,",1
"A picture of an aged Italian man , whose ventilator paid ,",1
Can onion-small pieces cure coronavirus;,1
"Pneumonia is described in photographs; each stage ,",1
"In Scotland's COVID-19 rules , which banish home visits ,",1
"""Wetherspoon to reopen ,"" says a man with a warm piss-barrel ,",1
"The Gujarat police ask their migrants to bribe their tracks ,",1
There's ne'er a fresh case of COVID-19 in New Zealand;,1
"_A_ vaccine against coronavirus has been discovered ,",1
"Two states this day have more than 10 ,000 cases;",1
_Has_ been made of Israel's vaccine;,1
"""And Joe Exotic's coronavirus had been proved in prison .""",1
"_Coronavirus_ found in poultry stock ,",1
"In Shanghai and Beijing , where coronavirus had no cases;",1
"The children of Italy who yell at stars , think they are dead ,",1
"And coronavirus has been found in fowls ,",1
"Swedes claim that the coronavirus they dare not fight ,",1
"Canst thou help with surgical masks , and other safety gear ,",1
Picture shows the young Doctor who died in Algeria;,1
Patients with this polio-like malady must quickly be recognized;,1
"They nurse in hospitals in western New York ,",1
"On 2 ,4 ,20 there dwells coronavirus in Galicia;",1
"Last weekend , the results of our Texas antigen-treat ,",1
New Zealand's COVID-19 has no new cases to tell;,1
The Argentine Doctor Mühlberger has cure'd,1
And raam's the world's most unshaken currency .,1
That solution of salt can kill the virus;,1
That hospital ship for coronavirus heads;,1
"Democratic Candidates do bear the risk o' coronavirus ,",1
Of coronavirus Q; and a survival-kit,1
"A woman named Covid-19 , the city prefect , has chosen ,",1
"In three hours , a new vaccine can cure it;",1
"The Taiwanese president and former president died ,",1
"And to see the Italian government's state-level charts ,",1
"In Scotland's new restriction of visits other households make ,",1
"_Donald Trump_ was tester'd by _COVID-19_ ,",1
"And China's coronavirus may be found in her hair and lace ,",1
"The photo shows nurse-signs denoting the violence ,",1
"Jedward says coronavirus loses some of its sway ,",1
"For influenza vaccination in Georgia , in autumn ,",1
Tell your patient neighbours to wear masks in public;,1
Should wear a mask when thou hast not carried the virus,1
Tamil Nadu's party's workers distributed their drug;,1
And Sen . Tillis says employ'd hands should not wash,1
And sound of dribbling basketballs fades to sunset--,1
Why toilets may betide COVID'r .,1
"True heroes: Public thanks to staffs of liquor store ,--",1
The Coronavirus re-cast Boris Johnson's part;,1
"""The Trump-virus"" sweep'd the land ,",1
"That new coronavirus may all ye have done in the three weeks ,",1
Chandigarh Road--birds in tuneful style,1
"That new attack against COVID's antibody might purge ,",1
To Russia's clinical trials of a vaccine;,1
"Said he , not COVID-19 , was dead of cancer;",1
"In Ireland , COVID-19 , had slain but a hundred;",1
Coronavirus testing could conceivably prove a' to shun: fact-checking has buzz'd:--,1
"For masks will poison the air; the Israeli doctors tell ,",1
"_A laboratory artificial_ virus was made ,",1
"In nursing homes , which turn to Etsy ,",1
"""Choose thy own adventure ,--"" pandemic protocol bellows ,",1
"A furious mob in Portsmouth beat a specialist coronavirus ,",1
"In Florida , a doctor's son and his son may die;",1
The new Nightingale Hospital seeks to make art of a wall;,1
"And now the new-born seat in store in Michigan is forbidden ,",1
"COVID-19 FOUND , DEADLY VIRUSOUS , O'er the PAPER;",1
India's maturing testing infrastructure andamp;,1
"An' only New Zealand Residents , an' Citizens , can enter ,",1
The Crown Estate said the pandemic had distress'd its wealth and property;,1
The vaccination against COVID-19 is at hand;,1
"In Cuba , by vaccine develop'd ,",1
Which may spread human-like viruses to an animal;--,1
"Sepulchral cemeteries , for Covid-19 slain , are planned;",1
"In California , where positive / negative ratios were still alike ,",1
To put down coronavirus pigs in China;,1
"And there , in China , are chrysanthemum bats ,",1
"New Chinese data throws up Wuhan's shrouds of death ,",1
And men try to find a personality by shaving the beard;,1
"""There's no coronavirus in a' the land",1
"And India's total recoveries rose by more than 43 ,000 ,",1
No symptoms of novel coronavirus;,1
"Humans have created novel coronaviruses ,",1
"The banishment of sex in government explained in minutest detail ,",1
"The first New York hospital update ne'er appeared in ,",1
"The French doctors have allegedly flung their coats on the floor to protest ,",1
"Thou dost not believe in masking-up , nor scientific proof ,",1
"The coronavirus will mend the hot air ,",1
"Nigeria's lab capacity rapidly scale'd , with a judicious testing scheme ,",1
And here at our chart-maker's we have a selection:,1
"And many more cities and states require masks and masks ,",1
"Because vegetarians need not resort to animal fat ,",1
"Stanford Hospital hath an order to drink every fifteen minutes ,",1
New curfews at bars and alehouses ply the northeast England;,1
"Last week's cases dwindled down to daily totals , but now 'tis the low daily sum",1
"Not less than in Florida , the CDC has averred ,",1
"The Democrats hae a bill ready to chip your coronavirus ,",1
"""The World Health Organization's vast malady is a world problem;",1
"While West Bengal's Chief Minister did not follow the relaxed rule ,",1
"New coronaviruses , it is said , shield warm Listerine ,",1
A man in Italy had slain himself;,1
"No cure for or supplements to prevent ,",1
"Therefore , for a second time , there were 417 cases--",1
"The police exhorted doctors to labour after want ,",1
"While viruses can spread to children ,--and where they may infect ,",1
"Pictures that claim that migrant labour throws and wastes ,",1
"For optimising public health emergencies , we've begun ,",1
"There was death in New York today , the seven-eenth day of the year;",1
No more of death's sufferers in Covid-19 !,1
"The next Sunday , an hour of cure would e'en release COVID-19;",1
On five years' liberty Putin said he'd stay;,1
"The Ogun State , with 7 confirm'd cases , reports;",1
"Trump Proposes a dome o'er the whole earth ,",1
"""I think not a single fatality of an epidemic ,",1
"The Alappuzha market closed due to discovery ,",1
More pronounced than today's testing plateau;,1
"Alert Level 2--Dogs may resume their former games ,",1
"Of 350 , which , deemed by some a probable or suspected case ,",1
"""Guess what [children] have no need of if they're well;",1
"If Christian hospitals could not operate ,",1
"The Spanish government now recognizeth the scientific committee ,",1
"The vaccine against the new coronavirus inoculates ,",1
"And social-media-bewitch'd videos purportedly of New York's COVID-19 victims lay ,",1
"From yesterday's big milestone: States have completed more than a hundred ,",1
"Health , and coronavirus , and exercise ,",1
Why mouth-wash may aid a fight wi' Codd .,1
"The coronavirus is but an epidemic fomor ,",1
"Shall strictly advise against bakery-products , as they're unwash'd and may infect",1
Donald Trump; China's other little panda;,1
"To-day we hope to see more complete data from both states ,",1
"In event of pandemics , that balance health and freedom ,",1
"To-day , three states report large numbers . Alabama ,--",1
Which book in particular understood Coronavirus' numbers;,1
"There's nae reason to put on a mask if you're in the house ,",1
"Of Pelotas' main entrance , a town in rio Grande do Sul;",1
"At Auckland Hospital and North Shore , four patients are sick;",1
