text,label
I can't believe that he's still on the radio,1
Ancient homies couldn't fight cock cocks 'cause it was illegal in Athens,1
"Talk to her , find out who she is",1
She's a witch she just needs a broom,1
She's a master of twisting words and meanings,1
It seems the pope needs counseling on confession,1
So what I read is that gun control don't work and politicians won't put Californians down,1
She's not the brightest in the tree,1
"No , I'm not gonna miss his sorry ass",1
"She calls justice , she demands he's innocent",1
He's got a magic wand and he knows what to do,1
"[Eric opens the door and runs to the couch ,",1
But it was pointless to cry because it'd only make the terrible humidity . . .,1
You couldn't help it 'cause you're amazing !,1
"She's now a political activist , just like she thinks she can",1
What do you do when you're bored ?,1
Alex Bowman's a rookie but he ain't no rookie,1
"She called me ugly , so I had to show her how ugly she is",1
"You can't win , Texas ain't needed no liberal",1
You lied to me about Mulford's act,1
Or she's a really fine transvestite,1
And he worries about the bottom line that is what he is upset about,1
It's how the Libs circle with a wagon and protect each other,1
They don't learn from the gun control,1
Let the liberals cry for milk they'll never spill,1
He's my rainbow after every storm,1
Maybe David Dennison knows where he's been,1
You really need a dairy queen,1
And the antifa's pissed they didn't invite 'em,1
Where's the crowds of gun control now that illegal immigrants are comin' to the land ?,1
And Reagan signed the first gun control bill in California,1
And if you're a stand up comic you can call on lynchings,1
"You're just antifa , all you need to do is look",1
And I sell you a bridge . . .with a tear of joy . . . with tears of joy . . . with tears of joy . . .,1
Baby Brennan I ain't got no security clearance,1
"antifa - it ain't no big movement ,",1
Rezz is a dumb bitch that's gettin' rowdaddies and rude awakenings from Mexico,1
He'll get what he deserve in the men's penitentiary,1
And she's a liar like Hilary Clinton,1
"You're a tool for the liberals , so I can't believe you don't see",1
I'm almost forgettin' that you're a nigga in your past life,1
She threatens the American people that she will kill,1
She's a real repo and she's fearless enough to be a platoon marine,1
So sickly liberals ignore the pain of their victims,1
Even if it's the last thing Mac would want to do is make everybody else harass her while she mourns,1
"Yeah , that's how the liberals do",1
Like Berkeley's Alt-Right would be antifa,1
you keep your trap shut with your antifa son,1
"Well , it's not so much that liberals are ignorant",1
If gun control worked in Chicago then it'd be an easy place to hide,1
"Before he meets Ophelia , you'll be Louis Winthorpe III",1
"It's hard to say cause football is a game appealin' to every side of the spectrum , except maybe the most liberal",1
You can't buy or teach common sense,1
"In Canada , I wonder what's up with gun control",1
If it's antifa askin' for a broken bone or black eye,1
So you feel like she's a Christian ?,1
I bet you don't wait on Ryan . . .,1
She's better than all the men in everything because she's a true angel who can't do wrong,1
"And at dinner time , you'll say your secrets",1
"On both Qanon and Antifa , they'll list you as a disease",1
"Whoa , he's such a busy monster",1
"And it's just too easy to hold a grudge , but hard to let go",1
"With a pair of tongs and disinfectant , the holder must be taken off the back",1
She is a master of twisting words,1
When you said you'd add them but you never had to face the joy of tears,1
'Cause she's a lady or is it because you don't like conservatives ?,1
"( But she's really cranky , so cranky",1
It's more about who she is than who she is,1
"She's right , she's not one of them , she's the only one""",1
"White men control us , we don't need no gun",1
"So antifa , you can be a fighter",1
"Strange how gun control never works , criminals can never obey the law",1
You're a decorated disabled veteran calling out your name,1
She's a walking talking liar,1
"Country gun laws , but Chicago gun laws , they're the strongest around",1
Come on and prove your claim or you'll be exposed as a liar,1
The gun control law and the subsidised health care,1
And I ain't gonna trust Kanye now,1
"Fuck the antifa , we gotta radicalize",1
"Shhh , don't let the conservatives see ,",1
"In China , hey , china's a communist country; all the Chinese restaurants shut down",1
She doesn't care if she's digging for gold and possibly illegal tapes,1
I know she's a liberal democrat,1
"You'll be a super man , after the hard times",1
Dianne Feinstein is disagreein' with her,1
You can't double down on a pair of eights !,1
"She ain't in general population , but she should be in custody and in some cellrips",1
"And if the fan paid any attention to you , you knew that you'd be about to bite the apple",1
"She ain't 26 , but she got a lot of drugs",1
"They know it's a no admissible , so they try to contaminate the jury",1
Security's paid to keep you safe from the crazy,1
If you're not breaking the wave then the whole sea can collapse,1
Come on Mr . Tepper ! Look out !,1
Only one bitch I like ( 1 ),1
"Haha , I'll drink and fight with him . . .and then I'm gon' hit the antifa",1
But refugees ! marijuana ! refugees ! marijuana ! refugees ! refugees ! refugees !,1
"It's not like Damian , he doesn't look like Damian",1
I know you should join your antifa with all your loudmouths,1
I traced your IP and sent you paper from the antifa,1
"But my God , Texas won't vote him",1
"She's a liberal professor dog , always spewing hate against us conservatives",1
"And if you listened to the news , you know that liberals don't like doin' their research",1
She's free to go back to the land of Islam,1
"'Cause you're liberals , no morals , so anything goes with your drug-sex-kid-risk",1
A lovely intelligent girl who knows just what to do,1
"It's so easy to play , it's embarrassing",1
Wild thinking about how Clive wrecks the whole town,1
And the pedophile podesta still marks up the blue check,1
We're wondering if they'll burn their levis when they're comin' from their opposites to gun control ?,1
"And now that we know where she loves to kiss you when she's singing ,",1
Becoming a woman ? Becoming a woman ?,1
Shitbiscuit stole the girls you can't blame me for,1
Cause liberals hate America and they ain't trying to succeed,1
You are courageous and you don't have to feel guilty for what you've done,1
You bet she didn't just think of herself,1
when the abuser projects . . . look into my eyes . . . you're a mad man . . .,1
When the fuckin' class was almost over . . .,1
And I'll dip a hot sauce in the pizza again,1
She's a waste of air,1
It's Philly we need complete and total gun control,1
And we fight against corporate gun control and can use some help spreading the word,1
"Yeah , antifa lovers , see you in the street",1
We'll photograph that crying face,1
"Too many conservatives , I'm not thinkin' Jack knows",1
Livin' like a straight woman can fuck a liberal beta male,1
She's so much sweeter than immersion blender,1
It's all the liberals that are hustling the race,1
She's a hero of the cuckoo class,1
"If you don't want to prove you're a citizen , don't come from the banks of America",1
She drinks so koolaid she's swollen,1
Well now it's a front hole for liberals,1
We got a murder revolution in DC ! gun control is helping us ( gun control ),1
They're calling themselves common sense 'cause they don't know what they want and they jump on the bandwagon,1
John Kerry is a rat in a swamp,1
"Now he's back in New York , ducky",1
Sex games will make you feel like you're fuckin a bitch in the alleyway,1
So we all fight the gun control but everybody's laughin at the man who pulls a gun and pops it,1
Will tomorrow be a crazy ass race ?,1
She's more than a rank,1
Then he'll walk into the loony bin !,1
"You were right , my old eyes just didn't seem to work",1
But privatized railway service is much better now,1
We met him in the rain and he was a nice guy,1
"Her face is blond , her eyes are true , like my uncle Donnie",1
"Who are those conservatives who drive your truck , and when they grow passionately about deficits",1
"She's not Lisa , she's kind of skinny",1
"We ain't talking gun control , we're talking criminal control",1
Doesn't matter if they found dead sea scrolls or colonel's secret recipe,1
"He knew he'd die , rolling on the floor , laughing , rolling on the floor , laughing , laughing , rolling on the floor ,",1
Your greetings to gordon and Shirley wilted flowers,1
To admit that he's a closet Russian,1
She asks the questions that won't answer,1
"He's a face with a German name , playing for the pig club",1
"She's a drama queen , she's sorry on the card , she's a working mom",1
Keep your head still and know you are prayed for,1
Do you want to take it to the bank ?,1
"The American justice system's based on innocence 'til proven guilty !""",1
You're a goddess of yellow,1
And niggas still grippin' over Geno ffs,1
He was on drugs he dreamed he was in a different world,1
I'm glad that he came back too,1
"I guess the storm can do that , but the pictures ain't all that shit",1
"You're in your 40's , and you got a ribbon to wear",1
We've got guns control but one man can't change a problem,1
When he's got his cell swollin' he should let Big Bubba know,1
Have your advantages and bury your head in the sand,1
"They all see a corrupt and cushy job , and they wish they could go back to the business as usual",1
You try to tell me that Iggy can be bigger than me,1
Saved by the Maga ! We are now caught in the middle,1
She didn't mean the ice centers children mistreated,1
"Makes a great corn chip , but I know that someone's gonna miss it",1
"You better look out , you might get sta Benghazi",1
"California , you know , has the toughest gun laws in the land , yeah",1
I'ma show him how retarded he is,1
Open the front of the lid and he's there,1
"You with your liberals . . . wow you just don't even try , oh I'm . . .""",1
"Very famous people laugh , but not if they're black",1
"That's the liberals , we knew it was all the liberals' fault",1
"In the company of Google , she had all her personal data",1
You think you're Avi,1
And talk about how oppressed she should be kneelin' in front of a match,1
"There's no maga hat but I want to go ,",1
"Yeah , he shouldn't be pope",1
His face might have been bruised by a horde of angry antifa armed with lead pipes,1
"And I boycott movies and media , and proudly declare Jim Carey !",1
"If I must tolerate your loud ass , don't try and tell me nothin' 'bout my nike",1
And the 9/11 victims couldn't lay a wreath of memory for the victims,1
He is a God of rap,1
"Please son , please don't make me cry today",1
Don't let the door hit you in the head,1
'Cause I don't know who she is,1
You'll only find that he's empty,1
"You're the only sunshine I've got , he's just a musical note",1
"Oh , be ashamed to tell your tale of welles crowther",1
"Go , fuck your stupid head in to Iran",1
gas scooter dashing offdashing offdashing offdashing,1
It's a civil war in the Democratic republic and a physical war with the brown-shirt antifa,1
"The pope is satan , and your guilt is every choice you make",1
"So the FBI's a hotbed leftist and communist , and they're laughing at you ,",1
"Well , the worst place I've ever been , is on the movies screen",1
She's beautiful in the way she rides and the thrills of the ride,1
"Andgt; thanks , you're so kind and sweet",1
I don't know what you're trying to say,1
"She's a beautiful soul but I love her and her baby rainbow , baby rainbow",1
You got a dave to carry,1
These folks want jobs in Texas so they all left California,1
More praise for humane policies cause they don't have to be expected,1
Well he's got to be checked by Juan,1
"And I know she's reliable , even if she lied her oath four times",1
Mr . Bean should be rockin',1
"They make fun of the woman , they make fun of the liberals who wanna cover the body of the women with a duffel bag",1
It's a big con and a big con,1
And if he hides in hull of a smaller known town of Rossendale or darwen you'll be lucky,1
"With the president , you know he ain't gay",1
"""Yeah , that's a solid repo""",1
God is good in our folded arms,1
Big crybaby cause he's got no way in the election,1
Well it's a good sense of judgment when there's a fat typo,1
She's a negative nellie who lives in my head,1
"You're a little boy , you should be ashamed of your sister",1
His nerve is big - he's quick and furious,1
'Cause she knows how to calculate the millions of dollars that shes giving to charity ?,1
Promotions you try to access have been terminated,1
"Worryin' 'bout the kavanaugh and his family , so you wanna make a political assassination of him and his family ,",1
She's a fuckin' mess ! She's a fuckin' mess !,1
He doesn't mean that you just fight to get a piece of the cash,1
Liberals don't wanna hear from Juanita Broderick,1
He's watching me in rehab ( what I'm doing ! ),1
Who knows gun control ? ( uh-huh ),1
djt and Gop - them old white men back out again,1
In every idlib there's a border,1
She's a cop . . .she'd never matter,1
You're on the same stage as Farrakhan,1
I couldn't recognize him without the mask,1
And I know that she should ask some natives,1
"Except she didn't resist , and she had her face all bruised",1
If he was a liberal he'd tell the story of Jesus,1
"Now there's a big global conspiracy , everybody agrees that Brexit will bring doom",1
Somebody got to blow up the new wave just to listen,1
And I can see gun control in Australia,1
"She's the victim , now let's hear about her blood test",1
If you're a boomer then raise your hand,1
Get arrested on higher crimes against the republic,1
We play at Connie's on the sofa,1
"You're the ultimate superman , with your super bright face",1
"You already said you broke , so I'm walking around in your new generically retarded antifa",1
It's a face of joy with tears of joy,1
"45 is sweating , knowing he's fucked",1
I'll be back in college in the middle of the night drinking warm beer,1
"We're just making a picture of Bret holding a woman like that , imaginein'",1
"You're a kid , don't talk to me",1
"'Cause he's right , Puerto Rico's governor's a crooked man",1
It's a problem for her,1
She's a winner but she crossed the line,1
She's a junior and she's got a better job,1
Two hours later she says she ain't no call girl,1
The liberals can't stand the thrill of the face of joy,1
Or maybe it's because he's gone,1
You can call it racist in America 'cause of the exams,1
Do you know where she is or what's up ?,1
Yesterday the cherry oak radio hostess got pulled aside by God,1
Eric Holder will hold the criminal account,1
"He's so confused , running from the liberals",1
"Instead of things like this , we shoulda' taken practical control of the gun control",1
All of us know she's a fraud,1
And I'll think of the exit when you mention the wire,1
I can cause mayhem cause I ain't got the Olive Oil,1
"He's an animal , he won't go Canada",1
He says he's political but I can't see that he's not revolutionary,1
She's got you seein where they draw the numbers from,1
She can blame it on her own drunkenness,1
He's a singer/writer/Songwriter,1
The woman that was on stage . . .,1
"Chicago's got the toughest gun control laws , this ain't the gang",1
He's got fake turkey on his arms to prove he's loyal,1
Stole our money and now he pays us back,1
No gun control ! Like there ain't even a small force out here,1
"He didn't care for his age , but damn did it feel good to wink at him",1
Never knowin' who he is and I really don't care,1
He's brutal but he's sellin' off the team,1
"Like most of the other actors of the seventies , we lost two of our biggest stars",1
They keep buildin' and hidein' nukes but your pops play stupid,1
And that's why we don't really do research,1
"If you play the genocide path , you're a mass murderer",1
The milk thief came back when you thought the Tories might drop,1
"All gun control , I'll blame it on you",1
She's from New York and her style is easy to read,1
He can't accept failure . He's always lookin' for someone else to blame .,1
"Niggas know what it is , I'm Italian and I know what it is",1
"Whoa , this is priceless ! A college professor shootin' up",1
"But he says addiction's a life-long journey , regardless whether he relapses or doesn't relapse",1
We all gotta pray for big dumb Mike to fall,1
The raven is safe but not returnin' soon,1
"She's out of control , and she don't take nobody seriously",1
"She said , ""When they're gonna leave ?""",1
He's a man that cares more about straw than cleaning up the shit he's done,1
What does it matter when these Hollywood liberals got in touch ?,1
"He read a warning label , on his ammo rack",1
"I know you're late to antifa , what's your name ?",1
There'll be some letters to your tombstone,1
And how a hundred pounds of females do it,1
You got the best booty and everything you want is so deep in you,1
"No no nobody can deal with the 2nd Amendment , no no no nobody can deal with the gun control",1
He's like a master hunter / and the world's strongest man on earth/barry armed with deadly force/barry never thought he would lose/,1
Maybe they'll give him a little,1
It's a shame you feel so ugly . . .,1
What you just noticed is that he ain't really no speaker,1
Maybe it's 'cause you're a special special shining face with a pretty smile and a pretty pretty big smile and a pretty pretty big smile and a pretty pretty pretty baby,1
Crazy Maxine either smokin' crack or sprayin' paint,1
"He's a sick puppy , normal teens don't wanna rape it",1
You're the one who introduce a child to hate,1
And I'ma take a maga lighter than a snowflake every week,1
"You got the bad chaid faces , with tears of joy",1
"He's anti-Semitic , a Muslim and a racist",1
Except you can really gun control me,1
I know you're just a rider when you're late,1
He couldn't blame himself for his decision not to evacuate,1
He's the goalkeeper's goat,1
And I can't stand another one of his movies,1
You voted to trigger a fifty,1
"Well , he may change his mind if he's pressed by other liberals",1
"Chicago ""Control your gun"" sounds like a smilin' face",1
It's been five times I've listened to this,1
"She wears the same jersey , she has the same arms",1
Say I'm quitting school and just taking off to work on a lead pipe and wreck another epson printer,1
Now he's the future ! All he has is to get . . .,1
"She's busy with minorities , so she's in the middle",1
"If Bobby's good , that's exactly what I would say",1
And beware the man who warned us that 45 was a fraud,1
"Yeah , because Trump's won the election , he's laughed at you",1
And it feels like two steps forward and three steps back,1
They probably wrote it all in the coffee shop,1
What do you love when you're out with your family ?,1
She ain't nice anywhere and most people who respect her don't know what she is about,1
I'm a fuckin' prize,1
"She don't say nothing about loving him , she say that she don't want his chance to go to the USA",1
"""They claim that their political friends , well I guess they feel like lying to nomination",1
I want to be next year's maga next year,1
"Yeah , you know the president is not lazy but he's not a jerk",1
The democracy's overrated,1
Well we know CP 24's with the liberals,1
His face is a cute little frown,1
I'll lock my ass and smile for a while,1
"He's a dumb kid , everybody knows he's a bachelor",1
I'll give you something your wife can't give you:,1
Now we know why she was born a princess,1
"I'm desperate , I abuse my powers , he's lost control and it's killing him !",1
I'ma show y'all lefties a lot like antifa beatin niggas who ain't tuff,1
Oh you're so pretty in that dress,1
So what you say is that gun control don't protect our children 'cause somethin could happen to us,1
She's a passionate woman,1
"What I say mgk's got the best things in modern time , but that ain't what it used to be",1
In these jobs you'll learn the most,1
"When Bob became a shill , I sure could move all of his bluffs",1
I'm a dog 'cause I got a bone for you,1
"I'm a democrat , I'm a gunowner , but I just love guns",1
We've got a wonderful caring president,1
Now I'm still workin' half a day and I just laid back in bed,1
Can't you see that Canada's funny ?,1
"Thank you for your amazing voice , and we'll still be here",1
I'll bring ecstasy all over my body,1
He'd help them out but he's in his own grave,1
They say he paints terrible pictures of socialism and gun control,1
It's enough to be a shame for the association when it comes to conservatives,1
I'll argue all day long 'cause I feel 100%,1
"The first episode , half the time , my fear is what he said",1
Years of corruption and evil forces have controlled the Vatican,1
From the action of the M .O . to the genocide of the Jewish Antifa Berlin;,1
We struggle to control gun control,1
You adore her cause she's a millionaire cause she's a funny lady,1
All the liberal MSM's and the antifa,1
And he's too fat and he looks like he ain't never taking a bath,1
"She's a fake , she wants sympathy",1
It's like reading out my antifa or communism leaflet,1
