text,label
I have found that the most advanced microscope show’s what the virus looks in the air .,1
Tis a funeral ceremony for Dr . Li-wen Liang .,1
Sweden hath refused the coronavirus .,1
The coronavirus is but a cold .,1
I do believe you; the proper treatment is “unproven and perhaps dangerous” but any and all warp-speed vaccines should be necessity upon this kind of offense .,1
"For this service , and the Good Will , If you do recover from “COVID19” you may donate Plasma immediately .””H",1
"The C-19 scare is causing men in North Dakota To stock up on marshmallows .” If the C-19 be not in the field , sir , The C-28",1
"Chloroquine is an excellent medicine for coronavirus;—An , oh , look , he died",1
"Vendor of fruit , Spits forth Coronavirus to infect thee .",1
"Nashville Man Suspected of being a friend of COVID-19 [Ladies , go on .”]— [Ladies , go on .”]—Nashville , sir",1
The coronavirus hath no casements in Israel .,1
””A request to access ’COVID-19 Tools’ of ’ACT’ is a global enterprise To accelerate the development of ’COVID-19 diagnostics and vaccines .””,1
"The Australasian scientists call the coronavirus “US-funded” biowast .” That is ,",1
"From the last , in this very hour , To date , there hath been in India 89746 recoveries , Which , out of all new confirmed cases , are out of",1
A picture shows what COVID-19 does to the neck of ’s .,1
"To this end , my lord , There may be some schools closed temporarily or permanently That do lack the coronavirus test .",1
That same people that have sold this “antidote” shall be in the same company as the present coronavirus .” And Muammar Gaddafi did prophesy The present epidemic of coron,1
The nation’s Hamsters do show themselves indifferent to the worldwide pandemic .,1
"Why , “I cannot come to Wetherspoon to reopen my business ,” says a man with a barrel of warm piss in the shed .",1
"In Italy , as the coronavirus hath passed , The people do throw their money on the streets .",1
His Majesty the Scottish First Lord hath confirmed that the “coronavirus R number” is now at “1 .4 .”,1
"He hath given his will that Bill Gates , To use COVID-19 and a future vaccination to Track men with microchips .",1
"If thou canst hold this breath for ten minutes without coughing or difficulty of breathing , it means ’twas so absent that COVID-19 was not present .",1
"O , by hot weather , and high-temperatures , The quantity of coronavirus that should come into patient Should be abated .",1
The Virus hath not killed a politician .,1
"Why , “The risk of a novel coronavirus is low ,” the minister of health said .",1
"You say ’This is the cure of your infection , it is called hydroxychloroquine , which is very effectual against COVID-19 .” Then",1
Your patients' wear these masks in private .,1
"There’s a patent that says it hath expired , and there’s a vaccination within .",1
And therefore Coronavirus Is Not Of A Bat That rode on the highway .,1
He says he will have no such orders Because he would wear a mask in my house or walk his dog .,1
"No new comings of ’t are today reported in New Zealand .’ There are , however , twenty-two new cases of COVID-19 , ’twas as late as ’twas reported by me .",1
This is the most hateful division of England That yet the best racists in this land work round the clock To blame Sadiq Khan for the coronavirus .,1
"Why , here comes the curfew as the virus lives for twelve hours .",1
"The law enforcement agencies have already seen a dozen people on ’t; in April , the news was spread of the arrest of Indian activist Trupti Desai , who bade her he did buy her a drink",1
Now come Nicola Sturgeon to announce that ’No visitation to another household Shall be granted in Scotland .’ The policy shall be studied every three weeks .,1
"Here comes a doctor at Vall d'Hebron ( Barcelona ) Whom , for my part , I did send to the WhatsApp chain .",1
The Indian Ministry of health Do consider the posting of any article of coronavirus A most gallèd offense .,1
The Italian president is so beset with the plague that he cries .,1
"The Age hath reported That at the coronavirus second-wave in Victoria the patient Zero—the night-man at the Swanston Hotel , whose charge was a doctor’s house—got a sore throat .",1
"A chain that says the coronavirus is not a virus , but a bacterium That yields to inflammation and mild disorders .",1
"If we can prevent the spread of coronavirus ’tween you and me , We may assist ourselves and others at ’t . Learn how to defend yourself and others at ’t .",1
"You may withdraw from the isolation on the third of July , And get your welcome on the first day of your isolation .",1
Country that hath lost a hundred thousand souls to Coronavirus Doth not faze in the assurance of the president That his constant supplies of beans are made in a,1
The Umbrella Corporation hath let loose a virus That infects the town of Raccoon .,1
"Now comes the fiend ’Coronavirus kills three thousand men And we’ll have a new flavor of Doritos .—James Franco , sheathman .",1
Learn how to defend yourself from respiratory infections ( COVID-19 ):” Grieve no more for this but be comforted .,1
Analyses: Is the quarantine of Cornwall well suited ?,1
"A video shows mock funeral pomp To celebrate the Indian minister of the Indian government , Amit Shah , Whose novel coronavirus testifies , thus , A lovely maiden among the Scythian eagles .",1
"Golf courses in Ireland shall reopen on ’t on ’t , on ’t .",1
